isbn,title,seller,seller_country,price,author
9780894950506,Sex Signals: The Biology of Love,GoldenWavesOfBooks,USA,763.53,Timothy Perper
9780894950506,Sex Signals: The Biology of Love,GoldBooks,USA,919.26,Timothy Perper
9783110218435,Loanwords in the World s Languages,moluna,Deutschland,268.77,"Haspelmath, Martin"
9783110218435,Loanwords in the World's Languages: A Comparative Handbook [Hardcover ],booksXpress,USA,299.05,"Haspelmath, Martin"
9783110218435,Loanwords in the world's languages,Bookbot,Tschechien,300.4,Martin Haspelmath
9783110218435,Loanwords in the World's Languages,BuchWeltWeit Ludwig Meier e.K.,Deutschland,310.0,Uri Tadmor
9783110218435,Loanwords in the World's Languages : A Comparative Handbook,AHA-BUCH GmbH,Deutschland,325.12,Uri Tadmor
9783110218435,Loanwords in the World's Languages: A Comparative Handbook,Lucky's Textbooks,USA,325.44,"Haspelmath, Martin"
9783110218435,Loanwords in the World's Languages,Ria Christie Collections,Vereinigtes Königreich,345.44,Martin Haspelmath
9783110218435,Loanwords in the World's Languages A Comparative Handbook,PBShop.store UK,Vereinigtes Königreich,348.52,"Haspelmath, Martin"
9783110218435,Loanwords in the World's Languages A Comparative Handbook,PBShop.store US,USA,361.94,"Haspelmath, Martin"
9783110218435,Loanwords in the World's Languages: A Comparative Handbook,Book Deals,USA,496.46,
9783110218435,Loanwords in the World's Languages: A Comparative Handbook,Books Unplugged,USA,496.46,
9783110218435,Loanwords in the World's Languages: A Comparative Handbook,Revaluation Books,Vereinigtes Königreich,509.94,"Haspelmath, Martin (Editor)/ Tadmor, Uri (Editor)"
9783528131159,Kurbeltriebe,Bookbot,Tschechien,296.6,Stefan Zima
9783528131159,"Kurbeltriebe: Konstruktion, Berechnung und Erprobung von den Anfängen bis heute (ATZ/MTZ-Fachbuch) Zima, Stefan",BUCHSERVICE / ANTIQUARIAT Lars Lutzer,Deutschland,360.9,"Zima, Stefan"
9780415408073,Underground Space - The 4Th Dimension Of Metropolises,Collectors' Bookstore,Belgien,167.0,Various Authors
9780415408073,Underground Space: the 4th Dimension of Metropolises,Bookbot,Tschechien,281.3,Ivan Hrdina
9780415408073,"Underground Space - The 4th Dimension of Metropolises, Three Volume Set +CD-ROM: Proceedings of the World Tunnel Congress 2007 and 33rd ITA/AITES Annual General Assembly, Prague, May 2007",Phatpocket Limited,Vereinigtes Königreich,472.34,
9781614284727,Fendi Roma,Bookbot,Tschechien,280.9,kolektiv
9781614284727,FENDI ROMA (LEGENDS) Illustrated Book in Slipcase RARE,Blank Verso Books,USA,308.99,Carlo Ducci
9781614284727,Fendi Roma (Legends) Slp Edition,Lost Books,USA,489.63,Carlo Ducci (Contributor)
9781614284727,Fendi Roma,"GF Books, Inc.",USA,494.33,
9781614284727,Fendi Roma,Book Deals,USA,494.34,
9781614284727,Fendi Roma (Legends),GoldBooks,USA,551.43,"Ducci, Carlo"
9781614284727,Fendi Roma (Legends),LibraryMercantile,USA,687.04,"Ducci, Carlo"
9781614284727,Fendi Roma (Legends),Byrd Books,USA,689.61,"Ducci, Carlo"
9781614284727,Fendi Roma (Legends),Front Cover Books,USA,697.82,"Ducci, Carlo"
9781614284727,Fendi Roma (Legends),Wizard Books,USA,707.24,"Ducci, Carlo"
9781614284727,Fendi Roma (Legends),GoldenWavesOfBooks,USA,709.16,
9781614284727,Fendi Roma (Legends),Books of the Smoky Mountains,USA,749.84,"Ducci, Carlo"
9781614284727,Fendi Roma (Legends),Grumpys Fine Books,USA,828.76,
9781614284727,Fendi Roma (Legends),GoldenDragon,USA,926.55,"Ducci, Carlo"
9781614284727,Fendi Roma,lamystef,Frankreich,2200.0,"Ducci, Carlo"
9783930944897,"Göttinnen-Geflüster-Set: Der weibliche Weg zur eigenen Kraft Marashinsky, Amy S; Janto Hrana and Zöller, Cora",BUCHSERVICE / ANTIQUARIAT Lars Lutzer,Deutschland,266.99,
9783930944897,Göttinnen Geflüster,Bookbot,Tschechien,277.0,Amy Sophia Marashinsky
9783930944897,Göttinnen Geflüster. Karten und Buch: Mit Orakel und Ritualen zur eigenen Kraft,"GF Books, Inc.",USA,373.64,
9789004186439,Encyclopedia of Chinese Language and Linguistics. Volume IV,Bookbot,Tschechien,241.4,kolektiv
9780310934486,NIV Thinline Bible.,Christian Books Australia,Australien,13.45,NEW INTERNATIONAL VERSION.
9780310934486,Holy Bible: New International Verison,Bookbot,Tschechien,251.16,kolektiv
9781850445562,Bills of Exchange and Banker's Documentary Credits,Bookbot,Tschechien,248.8,William Hedley
9789004262249,Encyclopedia of Chinese Language and Linguistics. Volume III. Mer - Ser,Bookbot,Tschechien,247.6,kolektiv
9783110279696,The languages and linguistics of Australia,Bookbot,Tschechien,243.6,Harold James Koch
9783110279696,The Languages and Linguistics of Australia A Comprehensive Guide,Buchpark,Deutschland,255.57,"Koch, Harold und Rachel Nordlinger:"
9783110279696,The Languages and Linguistics of Australia: A Comprehensive Guide (The World of Linguistics) [Hardcover ],booksXpress,USA,261.67,Unknown
9783110279696,The World of Linguistics 3.3. The Languages and Linguistics of Australia,moluna,Deutschland,277.28,Unknown
